"Link type"	"Is nofollow"	"Source URL"	"Source HTTP status code"	"Target URL"	"Target HTTP status code"	"Target no-crawl reason"	"Anchor"	"Is source canonical"	"Is source noindex"	"Is target canonical"	"Is target noindex"	"Is link self-referencing"
"Href link"	"false"	"https://cindemirlaw.com/fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfdd1fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bfd83fde1068e3bda46a37dd24126f9ec4b09df0c999365011ec71028e1a7d4c45bf-3/?lang=ru"	"200"	"https://cindemirlaw.com/contacts/"	"200"	""	"Контакты"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/consequences-of-a-divorce-decision-in-turkey/"	"200"	"https://cindemirlaw.com/principle-of-family-unity-deportation-procedures-and-protection-of-family-unity-for-deportees/"	"200"	""	"Human Rights"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/plastic-surgery-malpractice-in-turkish-law/"	"200"	"https://cindemirlaw.com/family-heritage/"	"200"	""	"Family Heritage"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/institutionalized-nominee-director/"	"200"	"https://cindemirlaw.com/"	"200"	""	"简体中文 简体中文 简体中文 Chinese (Simplified) zh-hans"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/articles/?lang=ru"	"200"	"https://cindemirlaw.com/fde1/"	"301"	""	"Методы взыскания задолженности в Турции"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/car-accident-in-turkey-and-legal-compensation-issues/"	"200"	"https://cindemirlaw.com/interim-injunctions-in-turkish-law/"	"200"	""	"Turkish Law"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/finding-a-nominee-director-in-turkey/"	"200"	"https://cindemirlaw.com/"	"200"	""	"Cindemir Law Office Cindemir Law Office"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/institutionalized-nominee-director/"	"200"	"https://www.linkedin.com/company/cindemir-law-office/"	""	"Blocked by robots.txt"	"Link to LinkedIn"	"true"	"false"	""	""	"false"
"Href link"	"false"	"https://cindemirlaw.com/estates-trusts/"	"200"	"https://cindemirlaw.com/team/"	"200"	""	"Team"	"true"	"false"	"true"	"false"	"false"
"Href link"	"false"	"https://cindemirlaw.com/%D0%B3%D1%83%D0%BC%D0%B0%D0%BD%D0%B8%D1%82%D0%B0%D1%80%D0%BD%D1%8B%D0%B9-%D0%B2%D0%B8%D0%B4-%D0%BD%D0%B0-%D0%B6%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE-%D0%B2-%D1%82%D1%83%D1%80%D1%86/?lang=ru"	"200"	"https://cindemirlaw.com/%D0%BA%D0%BE%D0%BC%D0%BF%D0%B5%D0%BD%D1%81%D0%B0%D1%86%D0%B8%D0%B8-%D0%BF%D0%BE%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5-%D0%B2-%D1%80%D0%B5%D0%B7%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%82%D0%B5/"	"301"	""	"Link to: Компенсации, положенные в результате дорожно-транспортных происшествий( ДТП ), приведших к смерти или травмам согласно Турецкому закону"	"true"	"false"	"true"	"false"	"false"
