"PR"	"URL"	"HTTP status code"	"Content type"	"Is indexable page"	"Title"	"Title length"	"Meta description"	"Meta description length"	"H1"	"H1 length"	"Meta robots"	"Robots information in HTTP headers"	"Canonical URL"	"Canonical URL code"	"Size (bytes)"	"No. of content words"	"Depth"	"No. of href inlinks"	"No. of inlinks dofollow"	"No. of internal outlinks"	"No. of external outlinks"	"Loading time (ms)"	"Organic traffic"	"No. of backlinks"	"No. of dofollow backlinks"	"No. of nofollow backlinks"	"No. of referring domains"	"No. of referring pages"
"70"	"https://cindemirlaw.com/"	"200"	"text/html; charset=utf-8"	"true"	"Law Firms in Istanbul - Cindemir Law Office"	"43"	"Cindemir Law Office is an Istanbul-based law firm advising on litigation, inheritance, immigration and commercial matters in Turkey."	"132"	"About Our Law Office
Welcome
Our Articles
Our Services"	"20
7
12
12"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/"	"200"	"167140"	"759"	"0"	"876"	"873"	"25"	"6"	"809"	"0"	"472"	"215"	"257"	"292"	"472"
"57"	"https://cindemirlaw.com/services/"	"200"	"text/html; charset=utf-8"	"true"	"Legal Services in Turkey - Cindemir Law Office"	"46"	"Explore our legal services designed to meet your needs with professionalism and expertise."	"90"	"Our Legal Services"	"18"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/services/"	"200"	"179521"	"1714"	"0"	"304"	"303"	"38"	"4"	"861"	"0"	"0"	"0"	"0"	"0"	"0"
"57"	"https://cindemirlaw.com/about-us/"	"200"	"text/html; charset=utf-8"	"true"	"Quality and Professional Legal Services - Cindemir Law Office"	"61"	"Cindemir Law Office is a professional Turkish law firm that provides legal services in Turkish and English in the fields of corporate and commercial, civil, labor, and employment law, as well as family law and litigation. Trust us for all your legal needs!"	"256"	"About Our Law Office"	"20"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/about-us/"	"200"	"155982"	"653"	"0"	"305"	"304"	"23"	"4"	"819"	"0"	"0"	"0"	"0"	"0"	"0"
"57"	"https://cindemirlaw.com/team/"	"200"	"text/html; charset=utf-8"	"true"	"Meet Our Team Of Attorneys In Istanbul - Cindemir Law Office"	"60"	"Cindemirlaw.com is a team of experts from various international law fields, such as commercial, corporate, civil, criminal, and procedural law, who are ready to solve cases."	"173"	"Our Legal Team"	"14"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/team/"	"200"	"167199"	"1131"	"0"	"304"	"303"	"26"	"7"	"786"	"0"	"0"	"0"	"0"	"0"	"0"
"57"	"https://cindemirlaw.com/articles/"	"200"	"text/html; charset=utf-8"	"true"	"Legal Articles about Turkish Law - Cindemir Law Office"	"54"	"At CindemirLaw.com, we specialize in a wide range of legal matters. Our experienced and knowledgeable team provides the latest news and articles in the legal field about Turkish law and regulations."	"198"	"Our Articles"	"12"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/articles/"	"200"	"418293"	"17094"	"0"	"304"	"303"	"219"	"4"	"5774"	"0"	"0"	"0"	"0"	"0"	"0"
"57"	"https://cindemirlaw.com/contacts/"	"200"	"text/html; charset=utf-8"	"true"	"Contact Legal Lawyers in Istanbul | Cindemir Law Office"	"55"	"Contact us today to get quick, professional assistance for your legal problems. We are ready to solve all kinds of problems: corporate law, real estate issues."	"159"	"Contact Us"	"10"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/contacts/"	"200"	"154907"	"195"	"0"	"290"	"289"	"11"	"4"	"776"	"0"	"1"	"1"	"0"	"1"	"1"
"55"	"https://cindemirlaw.com/who-is-hafiz-huseyin-husnu-efendi/"	"200"	"text/html; charset=utf-8"	"true"	"Who is Hafız Hüseyin Hüsnü Efendi? - Cindemir Law Office"	"56"	"Dive into the illustrious life and legacy of Hafız Hüseyin Hüsnü Efendi, a revered figure from Batum, whose journey from early education to serving various administrative roles in the Ottoman state reflects dedication, honor, and commitment. Discover the man behind the poetic pseudonym 'Hüsnü'."	"295"	""	""	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/who-is-hafiz-huseyin-husnu-efendi/"	"200"	"154618"	"481"	"0"	"231"	"230"	"17"	"4"	"740"	"0"	"0"	"0"	"0"	"0"	"0"
"55"	"https://cindemirlaw.com/family-heritage/"	"200"	"text/html; charset=utf-8"	"true"	"Family Heritage - Cindemir Law Office"	"37"	"Cindemir Law Office, founded by Hakan Cindemir and joined by Gökhan Cindemir, combines a rich legal heritage dating back to Hafız Hüseyin Hüsnü Efendi with modern legal expertise. Based in istanbul, we offer comprehensive legal solutions tailored to both individuals and businesses."	"282"	""	""	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/family-heritage/"	"200"	"154939"	"626"	"0"	"231"	"230"	"15"	"5"	"718"	"0"	"0"	"0"	"0"	"0"	"0"
"53"	"https://cindemirlaw.com/turkish-lawyer-online-consultancy/"	"200"	"text/html; charset=utf-8"	"true"	"Turkish Lawyer Online Consultancy | Cindemir Law Office"	"55"	"Explains Turkish Lawyer Online Consultancy, including procedures, documents, risks and key legal points for foreign clients."	"124"	"Turkish Lawyer Online Consultancy"	"33"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/turkish-lawyer-online-consultancy/"	"200"	"163066"	"523"	"0"	"142"	"142"	"29"	"4"	"798"	"0"	"0"	"0"	"0"	"0"	"0"
"53"	"https://cindemirlaw.com/basic-principles-of-turkish-labor-law/"	"200"	"text/html; charset=utf-8"	"true"	"Basic Principles of Turkish Labor Law | Cindemir Law Office"	"59"	"Explains Basic Principles of Turkish Labor Law, including procedures, documents, risks and key legal points for foreign clients."	"128"	"Basic Principles of Turkish Labor Law"	"37"	"follow
index
max-image-preview:large
max-snippet:-1
max-video-preview:-1"	""	"https://cindemirlaw.com/basic-principles-of-turkish-labor-law/"	"200"	"165560"	"892"	"0"	"126"	"125"	"30"	"4"	"805"	"0"	"1"	"1"	"0"	"1"	"1"
